kolom_1,pdf_1,omschrijving_1,test_kolom_1,kolom_2,pdf_2,omschrijving_2,test_kolom_2,kolom_3,pdf_3,omschrijving_3,test_kolom_3
.,rol nummer,rol_094,,.,rol nummer,rol_095,,.,rol nummer,rol_096,
.,begin nummer,350504067240279013,,.,begin nummer,350504067240282013,,.,begin nummer,350504067240285014,
.,eind nummer,350504067240282006,,.,eind nummer,350504067240285007,,.,eind nummer,350504067240288008,
.,rol nummer,rol_097,,.,rol nummer,rol_098,,.,rol nummer,rol_099,
.,begin nummer,350504067240288015,,.,begin nummer,350504067240291015,,.,begin nummer,350504067240294016,
.,eind nummer,350504067240291008,,.,eind nummer,350504067240294009,,.,eind nummer,350504067240297000,
.,rol nummer,rol_100,,.,rol nummer,rol_101,,.,rol nummer,rol_102,
.,begin nummer,350504067240297017,,.,begin nummer,350504067240300014,,.,begin nummer,350504067240303015,
.,eind nummer,350504067240300007,,.,eind nummer,350504067240303008,,.,eind nummer,350504067240306009,
.,rol nummer,rol_103,,.,rol nummer,rol_104,,.,rol nummer,rol_105,
.,begin nummer,350504067240306016,,.,begin nummer,350504067240309017,,.,begin nummer,350504067240312017,
.,eind nummer,350504067240309000,,.,eind nummer,350504067240312000,,.,eind nummer,350504067240315001,
.,rol nummer,rol_106,,.,rol nummer,rol_107,,.,rol nummer,rol_108,
.,begin nummer,350504067240315018,,.,begin nummer,350504067240318019,,.,begin nummer,350504067240321019,
.,eind nummer,350504067240318002,,.,eind nummer,350504067240321002,,.,eind nummer,350504067240324003,
.,rol nummer,rol_109,,.,rol nummer,rol_110,,.,rol nummer,rol_111,
.,begin nummer,350504067240324010,,.,begin nummer,350504067240327011,,.,begin nummer,350504067240330011,
.,eind nummer,350504067240327004,,.,eind nummer,350504067240330004,,.,eind nummer,350504067240333005,
.,rol nummer,rol_112,,.,rol nummer,rol_113,,.,rol nummer,rol_114,
.,begin nummer,350504067240333012,,.,begin nummer,350504067240336013,,.,begin nummer,350504067240339014,
.,eind nummer,350504067240336006,,.,eind nummer,350504067240339007,,.,eind nummer,350504067240342007,
.,rol nummer,rol_115,,.,rol nummer,rol_116,,.,rol nummer,rol_117,
.,begin nummer,350504067240342014,,.,begin nummer,350504067240345015,,.,begin nummer,350504067240348016,
.,eind nummer,350504067240345008,,.,eind nummer,350504067240348009,,.,eind nummer,350504067240351009,
.,rol nummer,rol_118,,.,rol nummer,rol_119,,.,rol nummer,rol_120,
.,begin nummer,350504067240351016,,.,begin nummer,350504067240354017,,.,begin nummer,350504067240357018,
.,eind nummer,350504067240354000,,.,eind nummer,350504067240357001,,.,eind nummer,350504067240360001,
.,rol nummer,rol_121,,.,rol nummer,rol_122,,.,rol nummer,rol_123,
.,begin nummer,350504067240360018,,.,begin nummer,350504067240363019,,.,begin nummer,350504067240366010,
.,eind nummer,350504067240363002,,.,eind nummer,350504067240366003,,.,eind nummer,350504067240369004,
.,rol nummer,rol_124,,.,rol nummer,rol_125,,.,rol nummer,rol_126,
.,begin nummer,350504067240369011,,.,begin nummer,350504067240372011,,.,begin nummer,350504067240375012,
.,eind nummer,350504067240372004,,.,eind nummer,350504067240375005,,.,eind nummer,350504067240378006,
.,rol nummer,rol_127,,.,rol nummer,rol_128,,.,rol nummer,rol_129,
